0.01,50.346,51.677,50.371,14.93,17.67,30.88
0.02,50.177,51.443,50.376,14.46,16.78,29.17 
0.03,50.034,51.003,50.42,13.77,15.09,27.16
0.04,49.591,50.564,50.426,12.4,13.57,25.88 
0.05,49.007,49.842,50.398,10.79,11.57,23.13 
0.06,48.455,49.053,50.347,9.4,9.75,18.81 
0.07,47.758,48.366,50.278,8.32,8.69,17.35
0.08,46.884,47.602,50.13,7.39,7.89,16.04
0.09,46.276,46.773,49.939,6.79,7.03,14.79
0.1,45.465,45.804,49.628,6.24,6.35,13.42
0.11,44.655,45.088,49.366,5.59,5.76,12.05
0.12,43.804,44.061,48.976,5.05,5.15,11.06
0.13,43.333,43.317,48.625,4.77,4.78,10.37 
0.14,42.218,42.539,48.317,4.38,4.48,9.85
0.15,40.879,41.41,47.799,4.04,4.15,9.05
0.16,40.066,40.127,47.256,3.81,3.78,8.36
0.17,38.857,39.044,46.243,3.58,3.57,7.72 
0.18,37.744,37.831,45.317,3.34,3.33,7.25 
0.19,36.683,36.678,44.229,3.1,3.1,6.75
0.2,35.68,35.837,43.197,2.93,2.95,6.26
0.21,34.834,35.02,42.584,2.8,2.83,5.97 
0.22,33.586,33.996,41.172,2.62,2.65,5.55
0.23,31.802,32.783,39.572,2.44,2.51,5.15
0.24,30.192,31.891,38.291,2.31,2.4,4.85
0.25,29.261,30.988,36.808,2.22,2.32,4.61
0.26,27.439,30.184,35.161,2.07,2.24,4.35
0.27,26.137,28.37,32.7,1.95,2.13,4.03
0.28,25.099,27.438,31.194,1.89,2.04,3.79
0.29,24.153,26.065,29.332,1.84,1.96,3.58
0.3,20.468,24.353,27.121,1.68,1.87,3.38
