0.01,42.728,43.558,42.328,17.42,20,48.34
0.02,42.535,43.123,42.639,15.94,16.89,35.7
0.03,41.96,42.498,42.728,11.79,12.35,26.25
0.04,41.287,41.732,42.532,9.35,9.68,20.4
0.05,40.635,41.024,42.263,7.87,8.04,16.99
0.06,39.81,40.102,41.883,6.64,6.72,14.58
0.07,39.019,39.336,41.366,5.78,5.95,12.54
0.08,37.975,38.597,40.63,5.09,5.29,10.85
0.09,37.15,37.452,39.972,4.62,4.61,9.67
0.1,36.381,36.532,39.275,4.18,4.16,8.71
0.11,35.656,35.371,38.429,3.88,3.74,7.81
0.12,34.64,34.705,37.448,3.54,3.51,7.13
0.13,33.319,34.205,36.262,3.2,3.33,6.54 
0.14,32.612,32.672,35.468,3.02,3.04,6.02
0.15,31.107,31.64,33.964,2.81,2.83,5.58
0.16,30.041,30.173,31.996,2.64,2.62,5.14
0.17,28.989,29.39,30.942,2.5,2.52,4.84
0.18,27.925,28.556,30.216,2.4,2.35,4.55
0.19,25.73,27.511,28.915,2.24,2.24,4.31
0.2,24.215,25.447,26.927,2.12,2.1,4.02
0.21,22.197,23.987,25.124,1.99,1.98,3.8
0.22,21.664,22.094,23.308,1.95,1.87,3.59
0.23,21.324,21.265,22.42,1.92,1.79,3.45
0.24,19.837,21.127,21.966,1.84,1.77,3.31
0.25,18.825,20.623,21.722,1.75,1.72,3.23
0.26,17.494,19.157,20.211,1.68,1.64,3.11
0.27,16.069,18.295,19.137,1.6,1.6,2.99
0.28,14.7,17.332,18.193,1.54,1.55,2.9 
0.29,14.129,16.63,17.465,1.5,1.51,2.84
0.3,13.468,14.823,15.514,1.46,1.41,2.71
