n,mf,LUT Usage,BRAM Usage,Max. Freq,addr_bus_width
n=1,2563,595,6,87.15,15
n=3,1479,804,3,87.30,12
n=11,1293,901,3,87.305,12
n=13,1270,960,3,87.215,11
n=18,1239,1038,3,87.18,11
n=19,1233,1171,3,87.11,11
