n,mf,LUT Usage,BRAM Usage,Max. Freq,addr_bus_width
n=1,2249,584,4,88.42,12
n=5,1304,871,2,88.5,11
n=9,1266,902,2,87.5,11
n=13,1082,967,2,87.3,11
n=17,1070,1055,2,87.34,11
n=29,998,1237,1,87.032,10
