n,mf,LUT Usage,BRAM Usage,Max. Freq,addr_bus_width
n=1,4347,541,8,87.72,13
n=7,2578,897,4,87.8,12
n=9,1947,916,2,87.72,11
n=13,1901,996,2,87.34,11
n=17,1771,1066,2,87.41,11
n=29,1704,1251,2,87.34,11
