n,mf,LUT Usage,BRAM Usage,Max. Freq,addr_bus_width
n=1,1813,568,4,87.34,13
n=6,1297,800,3,88.42,12
n=9,1276,837,3,87.61,12
n=18,1140,871,3,87.65,11
n=23,1112,960,3,87.6,11
n=26,1106,1084,3,87.45,11
