n,mf,LUT Usage,BRAM Usage,Max. Freq,addr_bus_width
n=1,81543,666,95,86.51,17
n=3,20298,733,32,87.03,15
n=5,15644,812,16,87.11,14
n=13,8798,946,16,87.03,14
n=17,7914,1012,8,87.11,13
n=29,7232,1205,8,87.03,13
