n,mf,LUT Usage,BRAM Usage,Max. Freq,addr_bus_width
n=1,5085,525,8,87.8,13
n=5,2152,875,4,87.57,12
n=9,2082,911,4,87.5,12
n=13,1622,974,2,87.4,11
n=17,1610,1059,2,87.26,11
n=29,1480,1241,2,87.2,11
