n,mf,LUT Usage,BRAM Usage,Max. Freq,addr_bus_width
n=1,8691,553,16,88.26,14
n=2,2900,730,4,88.34,12
n=4,1797,773,2,87.72,11
n=8,1447,776,2,88,11
n=16,1314,868,2,87.87,11
n=29,1274,932,2,87.87,11
