n,mf,LUT Usage,BRAM Usage,Max. Freq,addr_bus_width
n=1,3458,499,7,87.76,13
n=3,1479,790,3,87.98,12
n=11,1293,827,3,87.88,12
n=13,1270,871,3,87.83,11
n=21,1238,956,3,87.63,11
n=23,1233,1104,3,87.4,11
