0.01,18.62,21.64,117.87
0.02,18.15,20.84,67
0.03,17.02,19.24,49.48
0.04,15.83,17.5,44.78
0.05,14.42,15.55,41.37
0.06,13,14.07,37.19
0.07,11.9,12.71,34.13
0.08,10.92,11.54,31.32
0.09,10.12,10.65,28.32
0.1,9.33,9.89,25.58
0.11,8.79,9.17,23.98
0.12,8.15,8.28,21.97
0.13,7.69,7.75,20.37
0.14,7.26,7.3,18.96
0.15,6.62,6.68,17.42
0.16,6.19,6.38,16.35
0.17,5.75,5.98,15.1
0.18,5.49,5.75,14.31
0.19,5.12,5.4,13.67
0.2,4.76,5.03,12.65
0.21,4.64,4.9,12.14
0.22,4.49,4.6,11.42
0.23,4.23,4.32,10.77
0.24,4.03,4.09,10.22
0.25,3.88,3.95,9.79
0.26,3.63,3.69,9.21
0.27,3.47,3.56,8.73
0.28,3.28,3.43,8.32
0.29,3.14,3.3,7.86
0.3,3.01,3.21,7.48
