0.01,21.84,21.95,112.69
0.02,20.65,20.45,64.29
0.03,19.17,18.37,48.99
0.04,17.36,16.77,43.91
0.05,15.94,14.98,40
0.06,14.02,13.25,36.97
0.07,12.9,12.22,34.15
0.08,12.02,11.26,31.56
0.09,11.1,10.54,30.54
0.1,10.29,9.97,30.01
0.11,9.68,9.11,27.51
0.12,8.78,8.46,25.55
0.13,8.25,7.8,24.02
0.14,7.71,7.38,22.28
0.15,7.08,6.99,20.84
0.16,6.61,6.63,19.69
0.17,6.13,6.13,18.36
0.18,5.86,5.85,17.35
0.19,5.44,5.67,16.56
0.2,4.92,5.36,15.34
0.21,4.78,5.18,14.64
0.22,4.64,5.02,14.02
0.23,4.47,4.81,13.38
0.24,4.21,4.66,12.65
0.25,4.17,4.48,12.26
0.26,3.95,4.17,11.23
0.27,3.76,3.98,10.79
0.28,3.57,3.86,10.28
0.29,3.45,3.72,9.73
0.3,3.35,3.54,9.27
