0.01,65.374,65.846,64.84,21.84,21.95,32.41
0.02,65.029,65.553,64.812,20.65,20.45,27.46
0.03,64.836,65.129,64.672,19.17,18.37,23.84
0.04,64.408,64.769,64.514,17.36,16.77,22.11
0.05,63.981,64.103,64.36,15.94,14.98,21.02 
0.06,63.329,63.53,64.199,14.02,13.25,20.3
0.07,62.846,63.064,64.008,12.9,12.22,19.95
0.08,62.506,62.63,63.852,12.02,11.26,20.42
0.09,61.985,62.148,63.712,11.1,10.54,20.49
0.1,61.595,61.712,63.589,10.29,9.97,20.4
0.11,61.21,60.935,63.407,9.68,9.11,19.42
0.12,60.071,60.387,63.271,8.78,8.46,18.2 
0.13,59.165,59.666,63.139,8.25,7.8,17.18 
0.14,58.22,58.941,62.952,7.71,7.38,16.27
0.15,57.378,58.38,62.717,7.08,6.99,15.45
0.16,56.042,57.452,62.518,6.61,6.63,14.68
0.17,54.898,56.977,62.233,6.13,6.13,13.8
0.18,54.238,55.99,61.817,5.86,5.85,13.1
0.19,52.79,55.791,61.609,5.44,5.67,12.45
0.2,51.898,54.886,60.995,4.92,5.36,11.85
0.21,51.127,54.568,60.802,4.78,5.18,11.61
0.22,50.91,54.061,60.462,4.64,5.02,11.19
0.23,50.26,53.314,60.006,4.47,4.81,10.86
0.24,49.051,52.501,59.051,4.21,4.66,10.33
0.25,48.948,50.714,57.978,4.17,4.48,10.03
0.26,48.166,49.775,57.488,3.95,4.17,9.28
0.27,46.935,48.399,56.778,3.76,3.98,8.98
0.28,46.072,47.136,55.449,3.57,3.86,8.61
0.29,45.784,46.881,54.789,3.45,3.72,8.32
0.3,45.49,46.093,53.768,3.35,3.54,8.03
