57.863,90.943,25.614,42.984,57.347,71.987
58.3,88.541,29.217,46.944,57.114,68.934
57.025,90.248,33.668,44.504,53.948,69.731
60.465,91.443,26.974,45.325,60.288,77.066
58.949,89.859,26.91,44.499,59.87,70.775
54.765,88.811,24.373,42.178,52.171,64.786
53.183,90.534,21.377,40.325,51.589,64.24
57.996,90.825,23.734,47.529,58.465,68.291
54.487,85.947,20.974,41.354,53.893,67.972
53.765,91.961,23.003,37.139,52.229,68.598
53.826,89.655,25.07,40.546,50.118,67.823
52.811,88.276,12.238,37.928,52.695,68.221
53.969,91.456,21.676,39.999,52.908,67.628
51.932,87.294,14.08,37.561,51.57,68.87
50.525,90.005,15.033,37.635,49.96,64.264
53.695,89.58,16.06,35.364,54.539,71.33
48.328,84.01,0,35.543,48.27,64.594
47.675,87.01,0,30.52,46.34,67.445
46.384,87.188,0,30.941,48.324,64.226
44.163,87.248,0,26.062,42.084,63.267
46.023,87.898,0,27.489,44.163,61.594
48.26,90.493,0,22.106,48.414,75.303
41.961,88.806,0,23.052,38.524,60.626
36.235,88.048,0,24.023,38.318,57.216
41.479,89.743,0,25.053,41.264,66.419
38.429,87.813,0,26.01,41.19,61.712
39.015,88.474,0,13.504,43.413,62.729
38.344,88.358,0,0,43.835,61.627
31.711,89.536,0,0,29.079,52.191
33.832,89.578,0,0,30.078,61.471
