53.349,37.971,41.806,41.129,48.762,29.148,53.417,41.889,30.778,36.303,26.024,25.876,31.01,43.838,32.867,19.91,19.488,25.84,0,36.166,23.096,30.29,0,0,0,0,0,29.388,0,0
52.21,42.246,40.668,47.103,52.766,46.335,29.5,46.736,32.297,36.283,41.324,38.593,30.081,28.826,31.206,32.582,36.281,42.06,24.071,28.846,39.869,31.804,0,29.978,34.409,0,31.352,29.509,0,0
51.375,43.836,40.29,54.015,38.602,27.911,52.307,46.618,20.772,30.7,32.459,44.519,45.781,44.432,23.307,20.294,19.51,24.304,23.64,28.614,25.253,22.958,0,31.466,25.186,0,0,0,0,0
39.123,33.257,36.866,46.93,26.443,24.37,43.746,31.004,30.326,29.347,36.414,37.835,16.667,17.357,30.778,33.141,22.12,39.522,39.258,41.949,0,39.261,40.739,0,0,30.875,28.946,0,30.261,0
51.894,43.74,52.949,50.194,39.42,39.27,30.228,35.01,35.046,39.251,37.035,35.112,21.226,27.574,43.47,35.135,22.076,20.277,23.836,23.361,37.683,0,0,0,0,27.468,0,0,0,0
38.532,46.475,32.082,41.902,33.518,42.778,28.968,35.518,30.433,23.38,41.816,38.309,25.929,22.007,48.822,31.289,38.647,24.986,36.129,28.305,39.48,25.838,40.704,31.428,0,0,0,34.012,31.076,0
58.511,44.499,50.06,43.281,53.192,46.299,32.59,40.988,26.243,52.178,49.37,16.965,47.057,28.135,0,20.564,24.523,26.274,39.596,26.575,25.447,29.827,41.525,26.612,0,27.804,0,0,0,0
52.806,34.994,32.567,48.292,56.63,39.641,25.99,53.851,40.414,15.819,35.87,24.866,20.34,19.409,42.429,20.886,31.702,25.151,22.859,38.033,28.292,40.182,0,31.85,0,0,0,0,0,0
44.489,32.1,51.151,49.099,38.857,55.322,33.972,26.677,53.01,21.187,34.131,25.337,40.864,20.922,18.908,20.64,25.333,26.606,20.404,38.58,29.166,26.638,39.295,26.744,33.605,0,0,31.086,0,0
31.215,51.725,56.015,55.327,40.444,41.617,52.035,39.015,33.549,35.473,15.721,36.756,46.761,28.597,16.602,21.098,20.642,27.48,28.603,0,21.085,25.907,0,41.157,0,0,0,0,0,0
