x	y
2.501	6.04E-06
2.502	1.19E-05
2.503	1.76E-05
2.504	2.32E-05
2.505	2.86E-05
2.506	3.39E-05
2.507	3.89E-05
2.508	4.39E-05
2.509	4.86E-05
2.51	5.32E-05
2.511	5.77E-05
2.512	6.20E-05
2.513	6.61E-05
2.514	7.01E-05
2.515	7.39E-05
2.516	7.76E-05
2.517	8.11E-05
2.518	8.44E-05
2.519	8.76E-05
2.52	9.06E-05
2.521	9.35E-05
2.522	9.62E-05
2.523	9.88E-05
2.524	0.000101159262385
2.525	0.000103400079807
2.526	0.000105484049849
2.527	0.000107411296672
2.528	0.000109181944291
2.529	0.000110796116574
2.53	0.00011225393724
2.531	0.000113555529864
2.532	0.000114701017872
2.533	0.000115690524546
2.534	0.000116524173021
2.535	0.000117202086286
2.536	0.000117724387184
2.537	0.000118091198415
2.538	0.000118302642532
2.539	0.000118358841943
2.54	0.000118259918912
2.541	0.00011800599556
2.542	0.00011759719386
2.543	0.000117033635646
2.544	0.000116315442605
2.545	0.000115442736281
2.546	0.000114415638075
2.547	0.000113234269246
2.548	0.000111898750908
2.549	0.000110409204035
2.55	0.000108765749457
2.551	0.000106968507862
2.552	0.000105017599797
2.553	0.000102913145666
2.554	0.000100655265732
2.555	9.82E-05
2.556	9.57E-05
2.557	9.30E-05
2.558	9.01E-05
2.559	8.71E-05
2.56	8.39E-05
2.561	8.06E-05
2.562	7.71E-05
2.563	7.34E-05
2.564	6.97E-05
2.565	6.57E-05
2.566	6.16E-05
2.567	5.74E-05
2.568	5.30E-05
2.569	4.85E-05
2.57	4.38E-05
2.571	3.89E-05
2.572	3.39E-05
2.573	2.88E-05
2.574	2.35E-05
2.575	1.80E-05
2.576	1.24E-05
2.577	6.65E-06
2.578	7.49E-07
2.579	4.98E-06
2.58	1.05E-05
2.581	1.59E-05
2.582	2.12E-05
2.583	2.63E-05
2.584	3.13E-05
2.585	3.61E-05
2.586	4.07E-05
2.587	4.52E-05
2.588	4.96E-05
2.589	5.38E-05
2.59	5.78E-05
2.591	6.17E-05
2.592	6.55E-05
2.593	6.91E-05
2.594	7.26E-05
2.595	7.59E-05
2.596	7.91E-05
2.597	8.21E-05
2.598	8.49E-05
2.599	8.77E-05
2.6	9.02E-05
2.601	9.26E-05
2.602	9.49E-05
2.603	9.71E-05
2.604	9.90E-05
2.605	0.000100865340931
2.606	0.000102550909938
2.607	0.000104089230334
2.608	0.00010548041506
2.609	0.000106724576929
2.61	0.000107821828623
2.611	0.000108772282697
2.612	0.000109576051574
2.613	0.000110233247549
2.614	0.000110743982788
2.615	0.000111108369328
2.616	0.000111326519078
2.617	0.000111398543819
2.618	0.000111324555202
2.619	0.000111104664753
2.62	0.000110738983868
2.621	0.000110227623815
2.622	0.000109570695738
2.623	0.000108768310651
2.624	0.000107820579441
2.625	0.00010672761287
2.626	0.000105489521571
2.627	0.000104106416054
2.628	0.000102578406699
2.629	0.000100905603763
2.63	9.91E-05
2.631	9.71E-05
2.632	9.50E-05
2.633	9.28E-05
2.634	9.04E-05
2.635	8.78E-05
2.636	8.52E-05
2.637	8.23E-05
2.638	7.94E-05
2.639	7.62E-05
2.64	7.30E-05
2.641	6.96E-05
2.642	6.60E-05
2.643	6.23E-05
2.644	5.85E-05
2.645	5.45E-05
2.646	5.04E-05
2.647	4.62E-05
2.648	4.18E-05
2.649	3.72E-05
2.65	3.25E-05
2.651	2.77E-05
2.652	2.27E-05
2.653	1.76E-05
2.654	1.23E-05
2.655	6.95E-06
2.656	1.41E-06
2.657	4.03E-06
2.658	9.29E-06
2.659	1.44E-05
2.66	1.94E-05
2.661	2.42E-05
2.662	2.89E-05
2.663	3.34E-05
2.664	3.78E-05
2.665	4.21E-05
2.666	4.62E-05
2.667	5.02E-05
2.668	5.40E-05
2.669	5.78E-05
2.67	6.13E-05
2.671	6.47E-05
2.672	6.80E-05
2.673	7.12E-05
2.674	7.42E-05
2.675	7.70E-05
2.676	7.97E-05
2.677	8.23E-05
2.678	8.48E-05
2.679	8.71E-05
2.68	8.92E-05
2.681	9.13E-05
2.682	9.31E-05
2.683	9.49E-05
2.684	9.65E-05
2.685	9.80E-05
2.686	9.93E-05
2.687	0.000100481429452
2.688	0.000101533985024
2.689	0.00010244813887
2.69	0.000103223993913
2.691	0.000103861652956
2.692	0.000104361218691
2.693	0.000104722793694
2.694	0.000104946480427
2.695	0.000105032381237
2.696	0.00010498059836
2.697	0.000104791233915
2.698	0.000104464389908
2.699	0.000104000168234
2.7	0.000103398670672
2.701	0.00010265999889
2.702	0.000101784254441
2.703	0.000100771538767
2.704	9.96E-05
2.705	9.83E-05
2.706	9.69E-05
2.707	9.54E-05
2.708	9.37E-05
2.709	9.18E-05
2.71	8.99E-05
2.711	8.78E-05
2.712	8.55E-05
2.713	8.31E-05
2.714	8.06E-05
2.715	7.80E-05
2.716	7.52E-05
2.717	7.23E-05
2.718	6.92E-05
2.719	6.60E-05
2.72	6.27E-05
2.721	5.92E-05
2.722	5.56E-05
2.723	5.19E-05
2.724	4.80E-05
2.725	4.40E-05
2.726	3.99E-05
2.727	3.56E-05
2.728	3.12E-05
2.729	2.67E-05
2.73	2.20E-05
2.731	1.72E-05
2.732	1.23E-05
2.733	7.20E-06
2.734	1.99E-06
2.735	3.18E-06
2.736	8.15E-06
2.737	1.30E-05
2.738	1.77E-05
2.739	2.23E-05
2.74	2.67E-05
2.741	3.10E-05
2.742	3.52E-05
2.743	3.93E-05
2.744	4.32E-05
2.745	4.69E-05
2.746	5.06E-05
2.747	5.41E-05
2.748	5.75E-05
2.749	6.07E-05
2.75	6.38E-05
2.751	6.68E-05
2.752	6.97E-05
2.753	7.24E-05
2.754	7.50E-05
2.755	7.74E-05
2.756	7.98E-05
2.757	8.20E-05
2.758	8.40E-05
2.759	8.59E-05
2.76	8.77E-05
2.761	8.94E-05
2.762	9.09E-05
2.763	9.23E-05
2.764	9.36E-05
2.765	9.48E-05
2.766	9.58E-05
2.767	9.67E-05
2.768	9.74E-05
2.769	9.80E-05
2.77	9.85E-05
2.771	9.89E-05
2.772	9.91E-05
2.773	9.92E-05
2.774	9.92E-05
2.775	9.90E-05
2.776	9.87E-05
2.777	9.83E-05
2.778	9.77E-05
2.779	9.71E-05
2.78	9.62E-05
2.781	9.53E-05
2.782	9.42E-05
2.783	9.30E-05
2.784	9.17E-05
2.785	9.03E-05
2.786	8.87E-05
2.787	8.70E-05
2.788	8.51E-05
2.789	8.31E-05
