x	y
0.914	5.39E-05
0.915	5.72E-05
0.916	5.94E-05
0.917	6.03E-05
0.918	6.01E-05
0.919	5.87E-05
0.92	5.61E-05
0.921	5.23E-05
0.922	4.73E-05
0.923	4.12E-05
0.924	3.39E-05
0.925	2.54E-05
0.926	1.57E-05
0.927	4.89E-06
0.928	6.51E-06
0.929	1.68E-05
0.93	2.60E-05
0.931	3.39E-05
0.932	4.08E-05
0.933	4.64E-05
0.934	5.10E-05
0.935	5.44E-05
0.936	5.66E-05
0.937	5.77E-05
0.938	5.77E-05
0.939	5.65E-05
0.94	5.42E-05
0.941	5.07E-05
0.942	4.61E-05
0.943	4.04E-05
0.944	3.36E-05
0.945	2.57E-05
0.946	1.66E-05
0.947	6.42E-06
0.948	4.54E-06
0.949	1.46E-05
0.95	2.35E-05
0.951	3.14E-05
0.952	3.81E-05
0.953	4.37E-05
0.954	4.82E-05
0.955	5.16E-05
0.956	5.40E-05
0.957	5.52E-05
0.958	5.53E-05
0.959	5.44E-05
0.96	5.23E-05
0.961	4.92E-05
0.962	4.50E-05
0.963	3.97E-05
0.964	3.34E-05
0.965	2.59E-05
0.966	1.74E-05
0.967	7.80E-06
0.968	2.70E-06
0.969	1.25E-05
0.97	2.13E-05
0.971	2.89E-05
0.972	3.56E-05
0.973	4.11E-05
0.974	4.56E-05
0.975	4.91E-05
0.976	5.15E-05
0.977	5.28E-05
0.978	5.31E-05
0.979	5.24E-05
0.98	5.06E-05
0.981	4.78E-05
0.982	4.39E-05
0.983	3.90E-05
0.984	3.30E-05
0.985	2.61E-05
0.986	1.81E-05
0.987	9.04E-06
0.988	9.81E-07
0.989	1.06E-05
0.99	1.91E-05
0.991	2.67E-05
0.992	3.32E-05
0.993	3.87E-05
0.994	4.32E-05
0.995	4.66E-05
0.996	4.91E-05
0.997	5.06E-05
0.998	5.10E-05
0.999	5.05E-05
1	4.89E-05
1.001	4.64E-05
1.002	4.28E-05
1.003	3.83E-05
1.004	3.27E-05
1.005	2.62E-05
1.006	1.87E-05
1.007	1.01E-05
1.008	6.47E-07
1.009	8.73E-06
1.01	1.71E-05
1.011	2.45E-05
1.012	3.09E-05
1.013	3.64E-05
1.014	4.08E-05
1.015	4.43E-05
1.016	4.69E-05
1.017	4.84E-05
1.018	4.90E-05
1.019	4.86E-05
1.02	4.73E-05
1.021	4.50E-05
1.022	4.17E-05
1.023	3.75E-05
1.024	3.24E-05
1.025	2.62E-05
1.026	1.92E-05
1.027	1.11E-05
1.028	2.16E-06
1.029	7.00E-06
1.03	1.52E-05
1.031	2.25E-05
1.032	2.88E-05
1.033	3.42E-05
1.034	3.86E-05
1.035	4.22E-05
1.036	4.47E-05
1.037	4.64E-05
1.038	4.71E-05
1.039	4.69E-05
1.04	4.58E-05
1.041	4.37E-05
1.042	4.07E-05
1.043	3.68E-05
1.044	3.20E-05
1.045	2.62E-05
1.046	1.96E-05
1.047	1.20E-05
1.048	3.53E-06
1.049	5.38E-06
1.05	1.34E-05
1.051	2.06E-05
1.052	2.68E-05
1.053	3.21E-05
1.054	3.65E-05
1.055	4.01E-05
1.056	4.27E-05
1.057	4.44E-05
1.058	4.53E-05
1.059	4.52E-05
1.06	4.43E-05
1.061	4.24E-05
1.062	3.97E-05
1.063	3.61E-05
1.064	3.16E-05
1.065	2.62E-05
1.066	1.99E-05
1.067	1.28E-05
1.068	4.77E-06
1.069	3.85E-06
1.07	1.17E-05
1.071	1.87E-05
1.072	2.49E-05
1.073	3.02E-05
1.074	3.46E-05
1.075	3.81E-05
1.076	4.08E-05
1.077	4.26E-05
1.078	4.35E-05
1.079	4.36E-05
1.08	4.28E-05
1.081	4.12E-05
1.082	3.87E-05
1.083	3.54E-05
1.084	3.12E-05
1.085	2.61E-05
1.086	2.02E-05
1.087	1.35E-05
1.088	5.90E-06
1.089	2.40E-06
1.09	1.01E-05
1.091	1.70E-05
1.092	2.31E-05
1.093	2.83E-05
1.094	3.27E-05
1.095	3.62E-05
1.096	3.89E-05
1.097	4.08E-05
1.098	4.18E-05
1.099	4.21E-05
1.1	4.14E-05
1.101	4.00E-05
1.102	3.77E-05
1.103	3.47E-05
1.104	3.07E-05
1.105	2.60E-05
1.106	2.05E-05
1.107	1.41E-05
1.108	6.92E-06
1.109	1.04E-06
1.11	8.63E-06
1.111	1.54E-05
1.112	2.14E-05
1.113	2.65E-05
1.114	3.09E-05
1.115	3.44E-05
1.116	3.72E-05
1.117	3.91E-05
1.118	4.02E-05
1.119	4.06E-05
1.12	4.01E-05
1.121	3.89E-05
1.122	3.68E-05
1.123	3.40E-05
1.124	3.03E-05
1.125	2.59E-05
1.126	2.07E-05
1.127	1.46E-05
1.128	7.84E-06
1.129	2.58E-07
1.13	7.20E-06
1.131	1.39E-05
1.132	1.97E-05
1.133	2.48E-05
1.134	2.92E-05
1.135	3.27E-05
1.136	3.55E-05
1.137	3.75E-05
1.138	3.87E-05
1.139	3.92E-05
1.14	3.88E-05
1.141	3.77E-05
1.142	3.59E-05
1.143	3.33E-05
1.144	2.99E-05
1.145	2.57E-05
1.146	2.08E-05
1.147	1.51E-05
1.148	8.68E-06
1.149	1.48E-06
1.15	5.84E-06
1.151	1.24E-05
1.152	1.82E-05
1.153	2.32E-05
1.154	2.75E-05
1.155	3.11E-05
1.156	3.39E-05
1.157	3.59E-05
1.158	3.72E-05
